r,B
11.03,806
11.03,805
11.03,805
11.15,806
11.14,806
11.14,806
11.03,806
11.03,805
11.03,805
11.14,806
11.14,806
11.03,806
11.03,806
11.03,806
11.03,805
11.14,806
11.14,805
11.03,805
11.03,805
11.03,806
11.03,806
11.14,806
11.14,806
11.03,805
11.03,805
11.03,806
11.03,805
11.15,805
11.14,805
11.03,806
11.02,806
11.03,806
11.03,805
11.14,805
11.14,805
11.03,806
11.03,805
11.03,805
11.14,806
11.14,806
11.03,806
11.03,806
11.03,806
11.03,805
11.14,805
11.14,805
11.03,805
11.03,806
11.03,805
11.03,806
11.14,805
11.14,805
11.03,805
11.05,806
11.03,806
11.03,806
11.14,806
11.14,805
11.03,806
11.03,806
11.03,805
11.03,806
11.14,806
11.14,805
11.03,806
11.03,806
11.03,806
11.12,806
11.14,806
11.14,807
11.03,807
11.03,806
11.03,807
11.15,807
11.14,806
11.03,807
11.03,807
11.03,807
11.03,807
11.14,807
11.14,806
11.03,808
11.03,807
11.03,806
11.03,807
11.14,806
11.14,807
11.03,806
11.03,808
11.03,808
11.03,808
11.14,807
11.14,807
11.03,808
11.03,807
11.02,808
11.03,808
11.14,808
11.14,807
11.03,807
11.03,807
11.03,807
11.14,807
11.14,806
11.03,808
11.03,807
11.03,807
11.03,808
11.14,807
11.14,808
11.03,807
11.03,807
11.03,807
11.03,808
11.14,808
11.14,808
11.03,807
11.03,807
11.03,808
11.03,807
11.14,808
11.14,808
11.03,809
11.03,808
11.03,808
11.03,809
11.14,807
11.14,808
11.03,808
11.03,808
11.03,808
11.14,807
11.14,807
11.14,808
11.03,808
11.03,807
11.03,808
11.14,809
11.14,808
11.03,807
11.03,809
11.03,808
11.03,808
11.14,808
11.14,808
11.03,807
11.03,808
11.03,807
11.05,808
11.14,808
11.14,807
11.03,808
11.03,807
11.05,808
11.03,808
11.14,807
11.14,808
11.03,807
11.03,807
11.03,807
11.03,806
11.14,807
11.14,807
11.03,807
11.03,807
11.03,806
11.14,807
11.14,807
11.03,807
11.03,807
11.03,806
11.05,807
11.14,806
11.14,808
11.03,807
11.03,807
11.03,808
11.03,807
11.14,807
11.15,807
11.03,806
11.03,807
11.03,807
11.03,807
11.14,807
11.14,807
11.03,807
11.03,807
11.05,808
11.05,807
11.14,808
11.14,806
11.03,808
11.03,806
11.03,808
11.14,807
11.14,807
11.14,807
11.03,808
11.03,808
11.03,809
11.15,809
11.14,807
11.03,808
11.03,808
11.05,809
11.03,810
11.14,808
11.14,809
11.03,809
11.03,808
11.03,807
11.03,808
11.14,808
11.14,806
11.03,807
11.03,807
11.03,809
11.03,807
11.15,808
11.14,808
11.03,809
11.03,809
11.03,808
11.03,807
11.14,809
11.14,808
11.03,809
11.03,808
11.03,809
11.14,809
11.14,809
11.03,809
11.03,809
11.03,809
11.03,809
11.14,809
11.14,809
11.03,809
11.03,809
11.03,808
11.03,809
11.14,808
11.14,807
11.03,808
11.03,808
11.03,809
11.05,808
11.14,809
11.14,808
11.03,809
11.03,808
11.03,809
11.03,808
11.14,808
11.14,808
11.03,807
11.05,809
11.03,809
11.14,809
11.14,809
11.15,809
11.03,808
11.03,809
11.03,810
11.14,809
11.14,812
11.03,811
11.03,811
11.03,812
11.03,811
11.14,812
11.14,810
11.03,810
11.03,808
11.03,809
11.03,809
11.14,808
11.14,809
11.03,810
11.03,810
11.03,810
11.03,809
11.14,810
11.14,809
11.03,809
11.03,809
11.03,809
11.03,809
11.14,810
11.14,810
11.03,809
11.03,809
11.03,808
11.14,808
11.14,807
11.03,809
11.03,808
11.03,808
11.03,808
11.14,808
11.14,807
11.03,807
11.03,806
11.03,806
11.03,806
11.14,805
11.14,805
11.03,805
11.03,806
11.03,804
11.03,805
11.12,805
11.14,804
11.03,805
11.03,806
11.02,805
11.03,805
11.14,805
11.14,805
11.03,805
11.03,804
11.03,805
11.1,805
11.14,805
11.14,805
11.03,805
11.03,805
11.03,805
11.14,805
11.14,805
11.03,806
11.03,805
11.03,805
11.03,806
11.14,806
11.14,808
11.03,806
11.03,807
11.03,806
11.03,806
11.14,805
11.14,805
11.03,806
11.03,806
11.03,806
11.05,807
11.14,805
11.14,804
11.03,804
11.03,804
11.03,804
11.03,804
11.14,803
11.14,804
11.03,804
11.02,804
11.03,804
11.14,804
11.14,803
11.03,802
11.03,802
11.05,802
11.02,802
11.14,801
11.14,802
11.03,802
11.03,802
11.03,802
11.03,802
11.14,801
11.14,801
11.03,800
11.03,799
11.03,797
11.03,796
11.14,791
11.14,789
11.44,786
11.51,781
11.08,778
11.08,774
11.19,768
11.2,764
11.08,759
11.54,754
11.14,749
11.24,743
11.24,739
11.59,735
11.59,731
11.59,727
11.59,724
11.71,720
11.75,716
11.65,712
11.65,709
11.65,706
11.7,702
11.8,698
11.8,695
11.75,691
11.75,687
11.75,684
11.75,681
11.9,676
11.9,673
11.8,670
11.8,667
11.85,664
11.44,660
11.56,657
11.54,654
11.44,652
11.44,648
11.49,646
11.49,644
11.59,642
11.49,640
11.51,637
11.49,635
11.49,634
11.65,633
11.65,631
11.54,630
11.54,628
11.54,628
11.54,625
12.1,623
12.1,622
12,620
12,618
12.05,617
12.04,615
12.16,614
12.61,612
12.1,610
12.09,609
12.51,607
12.14,606
12.26,605
12.26,603
12.16,602
12.21,601
12.21,599
12.21,598
12.31,597
12.21,595
12.26,594
11.85,593
11.85,591
11.95,590
11.95,590
11.85,588
11.9,587
11.9,586
11.9,585
12,584
12,582
11.9,582
12.34,581
11.9,581
11.95,581
12.05,579
12.48,579
11.95,579
11.95,578
11.95,578
11.95,577
12.05,577
12.05,577
12.41,576
12.41,576
12.41,575
12.41,575
12.51,575
12.41,574
12.41,573
12.41,573
12.46,573
12.46,572
12.56,571
12.46,570
12.92,570
12.51,569
12.51,568
13.02,568
12.67,567
12.56,565
12.61,564
12.63,563
12.61,562
12.77,561
12.77,561
12.26,560
12.26,560
12.26,558
12.67,558
12.41,557
12.41,557
12.31,556
12.31,555
12.31,555
12.31,555
12.46,555
12.36,554
12.34,554
12.36,554
12.36,553
12.36,553
12.46,553
12.36,552
12.82,553
12.82,552
12.8,551
12.9,551
12.92,550
12.82,550
12.8,550
12.87,550
12.87,549
12.97,549
12.97,549
12.87,549
13.33,548
12.92,548
12.92,548
13.02,548
13.33,547
13.38,547
13.38,547
13.38,547
13.38,546
13.46,546
13.41,546
13.02,545
13.02,545
13.02,545
13.01,545
13.18,544
13.07,544
13.07,545
13.06,544
13.06,543
13.07,543
13.18,543
13.12,542
12.72,542
12.72,542
12.72,541
12.82,541
12.82,541
12.72,540
12.77,540
12.77,540
12.77,540
12.87,539
12.87,539
12.77,539
13.23,538
12.82,538
13.23,538
13.33,538
13.23,538
13.23,537
13.28,537
13.28,537
13.26,537
13.38,537
13.74,537
13.74,536
13.74,536
13.74,536
13.79,536
13.89,535
13.79,535
13.79,535
13.84,535
13.84,535
13.52,534
13.94,534
13.46,534
13.48,534
13.48,534
13.48,533
13.58,533
13.58,533
13.53,533
13.53,533
13.14,532
13.12,532
13.23,532
13.12,532
13.52,532
13.18,532
13.18,532
13.18,531
13.29,531
13.19,532
13.18,531
13.18,531
13.18,530
13.63,530
13.33,530
13.23,531
13.63,530
13.63,530
13.69,530
13.69,530
13.79,530
13.69,529
14.14,529
14.16,529
14.14,529
14.3,529
14.2,529
14.2,528
14.2,528
14.2,528
14.25,528
14.35,528
14.25,527
14.3,528
13.89,527
13.89,527
13.89,527
14.04,527
13.94,527
13.53,527
13.53,527
13.52,526
13.53,526
13.69,526
13.58,526
13.57,526
13.58,526
13.58,526
13.58,526
13.7,526
13.58,525
14.04,525
13.63,525
13.63,525
14.13,525
14.14,525
14.09,525
14.09,525
14.09,525
14.09,524
14.65,524
14.55,524
14.6,524
14.59,525
14.6,524
14.6,524
14.76,524
14.65,524
14.64,524
14.65,524
14.65,524
14.71,524
14.81,524
14.71,523
14.71,523
14.3,523
14.71,524
14.35,523
14.45,523
14.35,523
14.35,523
14.35,523
14.35,523
14.35,523
14.08,523
13.99,523
13.99,522
13.99,523
13.97,523
14.09,523
13.99,522
13.97,523
13.99,522
13.99,522
14.43,522
14.14,523
14.04,522
14.04,522
14.04,522
14.04,523
14.04,522
14.14,522
14.5,522
14.5,522
14.48,522
14.5,522
14.48,521
15.06,522
14.54,521
14.96,522
14.96,521
14.96,521
15.01,521
15.01,521
15.01,521
15.01,521
15.01,521
15.06,521
15.16,521
15.06,521
15.06,521
15.11,521
15.11,521
15.11,520
15.22,521
15.11,521
15.16,521
15.16,521
14.76,520
14.76,521
14.86,520
14.76,520
14.76,521
14.81,520
14.81,520
14.4,520
14.5,520
14.4,520
14.42,521
14.4,520
14.4,519
14.4,520
14.96,520
14.43,520
14.45,520
14.45,520
14.45,521
14.45,520
14.47,520
14.45,520
14.43,519
14.45,520
14.45,520
15.01,520
14.91,520
14.91,520
14.91,519
14.91,520
15.37,520
15.47,519
15.37,519
15.37,519
15.37,519
15.42,519
15.42,519
15.52,519
15.47,519
15.47,519
15.47,519
15.88,519
15.52,519
15.5,519
15.52,519
15.57,519
15.57,519
15.57,519
15.56,519
15.57,519
15.57,520
15.22,519
15.22,519
15.22,519
14.91,519
15.2,518
14.81,519
14.84,518
14.84,518
14.84,519
14.94,518
14.86,518
14.84,518
14.86,518
14.84,518
15.3,518
15.4,518
14.89,518
15.3,518
15.32,518
15.35,518
15.35,518
15.45,518
15.78,518
15.81,518
15.81,518
15.81,518
15.86,518
15.88,518
15.86,518
15.91,518
15.91,517
15.93,518
16.34,518
15.96,518
15.96,518
15.96,517
15.96,517
15.98,517
16.13,518
15.61,517
15.61,517
15.62,517
15.61,517
15.62,517
15.78,517
15.25,517
15.27,517
15.27,517
15.27,517
15.27,517
15.37,517
15.73,517
15.3,517
15.32,517
15.32,517
15.71,517
15.73,517
15.76,517
15.76,517
16.22,517
16.22,517
16.22,517
16.29,517
16.27,517
16.69,517
16.75,516
16.73,517
16.88,517
16.8,517
16.78,517
16.78,517
16.42,516
16.42,516
16.52,516
16.44,517
16.06,517
16.06,516
15.66,516
15.66,516
15.76,516
15.67,516
16.12,516
15.71,517
15.73,516
15.73,516
16.17,516
16.17,516
16.17,516
16.63,516
16.63,516
16.68,516
16.66,516
17.14,516
17.14,516
17.19,516
17.19,516
17.19,516
17.24,516
16.83,517
16.83,516
16.88,516
16.47,516
16.57,515
16.88,516
16.52,516
16.52,515
16.12,516
16.12,515
16.23,515
16.57,515
16.57,515
16.57,515
16.59,515
17.03,515
17.05,516
17.49,515
17.51,515
17.54,516
17.54,515
17.6,515
17.6,515
17.66,515
17.66,515
17.66,515
17.31,515
17.29,515
16.9,515
16.88,515
17.34,515
16.95,515
16.93,515
17.02,515
16.52,515
16.98,515
17,515
16.98,515
16.98,515
16.98,515
17,515
17.44,515
17.44,515
17.44,515
17.44,515
17.46,515
17.49,515
17.9,515
17.95,515
17.95,515
18,515
18.46,515
18.46,515
18.07,515
18.07,515
18.11,516
18,515
17.71,515
18.11,515
18.11,514
17.75,515
17.75,515
17.36,515
17.36,515
17.34,515
17.36,515
17.39,514
17.41,515
17.39,515
17.41,515
17.41,515
17.41,515
17.85,515
17.85,515
18.31,515
18.33,514
18.36,514
18.36,514
18.82,515
18.72,514
18.82,514
18.87,514
18.87,514
18.89,515
18.51,515
18.41,514
18.51,514
18.58,514
18.16,515
18.17,515
18.16,514
18.05,514
18.21,515
17.82,514
17.82,514
17.8,514
17.8,514
18.24,514
18.26,514
18.28,514
18.31,515
18.73,514
18.77,514
18.77,514
19.23,514
19.23,514
19.3,514
19.28,514
19.18,514
19.33,514
19.33,514
19.33,514
18.97,514
18.97,514
18.46,514
18.6,514
19.04,514
18.62,514
18.62,514
18.22,514
18.12,514
18.22,514
18.22,514
18.67,514
18.67,514
18.67,514
18.56,513
18.73,514
19.13,514
19.18,514
19.19,514
19.18,514
19.65,514
19.63,514
19.63,514
19.7,514
19.7,514
19.58,514
19.75,514
19.75,514
19.74,514
19.75,514
19.38,514
19.28,514
19.38,514
19.4,514
19.4,514
19.4,514
19.04,514
18.92,514
19.04,514
18.63,514
18.63,514
18.63,514
19.09,514
18.99,514
19.09,514
19.09,515
19.07,514
19.53,514
19.14,514
19.13,514
19.58,514
19.58,514
19.6,514
20.04,514
19.99,514
20.11,514
20.11,514
20.16,514
20.14,514
20.21,514
19.69,514
19.79,514
20.26,514
19.84,514
19.45,514
19.45,514
19.8,514
19.48,514
19.07,514
19.07,514
19.96,514
19.55,514
19.45,514
20.01,514
20.01,514
20.06,514
20.52,514
20.42,514
20.47,514
20.57,514
20.21,514
20.21,514
20.26,514
19.77,514
19.86,514
20.3,514
19.91,514
19.5,514
19.5,514
19.4,513
19.96,513
19.96,514
19.99,513
20.42,514
20.45,513
20.37,513
20.93,514
20.98,514
20.98,513
20.98,514
20.62,513
20.57,513
20.26,513
20.25,513
20.31,513
19.91,514
19.91,513
19.8,514
20.37,514
20.37,514
20.37,514
20.42,514
20.31,513
20.88,514
20.91,513
20.93,513
21.37,514
21.42,513
20.93,513
21.03,514
21.08,513
21.08,513
21.08,514
20.72,513
20.62,513
20.72,514
20.3,513
20.76,513
20.37,513
20.35,513
20.26,513
20.82,513
20.82,514
20.82,513
21.28,513
21.23,513
21.23,513
21.39,514
21.37,514
21.42,514
21.44,513
21.37,514
21.39,513
21.49,513
21.13,513
21.13,514
21.11,513
21.08,513
21.17,513
20.77,513
20.76,513
21.22,513
21.22,513
21.11,513
21.69,513
21.73,513
21.74,513
21.74,513
21.68,513
22.15,513
21.85,513
22.3,513
21.9,513
21.9,513
21.42,513
21.42,513
21.93,513
21.57,513
21.57,513
21.17,513
21.08,513
21.54,513
21.64,513
21.62,513
21.68,513
21.69,513
22.03,513
22.15,513
22.61,513
22.19,513
22.64,513
22.24,513
22.61,513
22.29,514
22.3,513
22.34,513
22.34,513
21.93,513
21.88,513
22.41,513
22,513
22,513
21.98,513
21.95,513
21.52,513
22.03,513
22.51,513
22.08,513
22.1,513
22.46,513
22.46,513
23,513
22.61,513
22.61,513
23.05,513
22.95,513
23.02,513
22.7,513
23.17,513
22.76,513
22.75,513
22.7,513
22.41,513
22.39,513
22.39,513
22.46,513
22.36,513
22.34,513
22.46,513
22.51,513
22.51,513
22.95,513
22.87,513
22.9,514
23.48,513
23.48,513
23.53,513
23.56,513
23.05,513
23.07,513
23.21,513
22.8,513
22.8,513
22.85,514
22.76,513
22.75,513
22.87,513
22.9,513
22.9,513
22.93,513
23.26,513
23.82,513
23.41,513
23.46,513
23.87,513
23.82,512
23.87,513
23.56,513
23.56,513
23.61,513
23.61,513
23.51,513
23.15,513
23.26,513
23.26,513
23.72,513
23.31,513
23.66,513
23.26,513
23.36,513
23.82,513
23.83,513
23.87,513
24.22,513
24.26,513
23.97,513
23.99,513
23.97,513
23.92,513
23.97,513
23.56,513
23.66,513
24.12,513
23.7,513
23.61,513
24.07,513
23.77,513
24.22,513
24.24,513
24.68,513
24.17,513
24.63,513
24.34,513
24.38,513
24.84,513
24.43,513
24.33,513
24.38,513
24.07,513
24.48,513
24.55,513
24.12,513
24.07,513
24.07,513
24.63,513
24.67,513
25.14,513
25.07,513
24.68,513
24.73,513
25.3,513
24.87,513
24.89,513
24.43,513
24.89,513
24.58,513
25.04,513
25.5,513
25.5,513
25.48,513
25.09,513
25.25,513
25.3,513
